Białystok,53.133333,23.166667
Bydgoszcz,53.116667,18.000000
Gdańsk,54.366667,18.633333
Gorzów Wielkopolski,52.733333,15.233333
Katowice,50.250000,19.000000
Kielce,50.883333,20.616667
Kraków,50.050000,19.950000
Lublin,51.233333,22.566667
Łódź,51.783333,19.466667
Olsztyn,53.783333,20.500000
Opole,50.666667,17.933333
Poznań,52.416667,16.916667
Rzeszów,50.050000,22.016667
Szczecin,53.433333,14.566667
Toruń,53.033333,18.616667
Warszawa,52.200000,21.033333
Wrocław,51.116667,17.033333
Zielona Góra,51.933333,15.500000
